Date,Close
02/06/2003,1590.75
03/06/2003,1603.560059
04/06/2003,1634.650024
05/06/2003,1646.01001
06/06/2003,1627.420044
09/06/2003,1603.969971
10/06/2003,1627.670044
11/06/2003,1646.02002
12/06/2003,1653.619995
13/06/2003,1626.48999
16/06/2003,1666.579956
17/06/2003,1668.439941
18/06/2003,1677.140015
19/06/2003,1648.640015
20/06/2003,1644.719971
23/06/2003,1610.75
24/06/2003,1605.609985
25/06/2003,1602.660034
26/06/2003,1634.01001
27/06/2003,1625.26001
30/06/2003,1622.800049
01/07/2003,1640.130005
02/07/2003,1678.72998
03/07/2003,1663.459961
07/07/2003,1720.709961
08/07/2003,1746.459961
09/07/2003,1747.459961
10/07/2003,1715.859985
11/07/2003,1733.930054
14/07/2003,1754.819946
15/07/2003,1753.209961
16/07/2003,1747.969971
17/07/2003,1698.02002
18/07/2003,1708.5
21/07/2003,1681.410034
22/07/2003,1706.099976
23/07/2003,1719.180054
24/07/2003,1701.420044
25/07/2003,1730.699951
28/07/2003,1735.359985
29/07/2003,1731.369995
30/07/2003,1720.910034
31/07/2003,1735.02002
01/08/2003,1715.619995
04/08/2003,1714.060059
05/08/2003,1673.5
06/08/2003,1652.680054
07/08/2003,1652.180054
08/08/2003,1644.030029
11/08/2003,1661.51001
12/08/2003,1687.01001
13/08/2003,1686.609985
14/08/2003,1700.339966
15/08/2003,1702.01001
18/08/2003,1739.48999
19/08/2003,1761.109985
20/08/2003,1760.540039
21/08/2003,1777.550049
22/08/2003,1765.319946
25/08/2003,1764.310059
26/08/2003,1770.650024
27/08/2003,1782.130005
28/08/2003,1800.180054
29/08/2003,1810.449951
02/09/2003,1841.47998
03/09/2003,1852.900024
04/09/2003,1868.969971
05/09/2003,1858.23999
08/09/2003,1888.619995
09/09/2003,1873.430054
10/09/2003,1823.810059
11/09/2003,1846.089966
12/09/2003,1855.030029
15/09/2003,1845.699951
16/09/2003,1887.25
17/09/2003,1883.099976
18/09/2003,1909.550049
19/09/2003,1905.699951
22/09/2003,1874.619995
23/09/2003,1901.719971
24/09/2003,1843.699951
25/09/2003,1817.23999
26/09/2003,1792.069946
29/09/2003,1824.560059
30/09/2003,1786.939941
01/10/2003,1832.25
02/10/2003,1836.219971
